SalePageId,SalePageTitle,SaleProductDescShortContent,GMV,TotalQty
7678885,76酵母胺基酸淨膚潔顏露（防滑升級版）【鍾明軒．蔡頤榛推薦】,｜76酵母胺基酸淨膚潔顏露｜,1.8420264E7,10577
7586646,【母親節囤貨｜買4送2】76酵母胺基酸淨膚潔顏露 4入【送】潔膚巾(100pcs)2入 (珍珠紋 或 十字紋 款式隨機贈送)【鍾明軒推薦】,※超商取貨限購2組，3組以上因超過超商限制大小請選擇【宅配】配送,1.2962188E7,3412
7467074,76酵母胺基酸淨膚潔顏露（防滑升級版）2入【鍾明軒推薦】,｜76酵母胺基酸淨膚潔顏露｜,1.095723E7,5770
8036028,爽膚零油光｜76酵母胺基酸淨膚潔顏露+99控油保濕平衡乳【鍾明軒．蔡頤榛推薦】,｜爽膚零油光｜,7746125.0,3875
7550689,【買2送1】76酵母胺基酸淨膚潔顏露*2【送】100%純棉植物纖維潔膚巾(珍珠紋加厚版100pcs)【鍾明軒推薦】,｜健康好膚質的保養捷徑｜,6348824.0,3176
7467069,76酵母胺基酸淨膚潔顏露（防滑升級版）【鍾明軒推薦】,｜76酵母胺基酸淨膚潔顏露｜,6205680.0,5746
8539536,【女王節囤貨｜買4送2】76酵母胺基酸淨膚潔顏露+蜂王乳極潤修護精華露+黃金胜肽賦活精華+99控油保濕平衡乳 送 黃金修護白泡泡面膜50ML隨身瓶+76酵母胺基酸淨膚潔顏露30ML隨身瓶,｜混和肌必備組｜,5774496.0,1092
7576390,【油痘肌最愛】黃金修護白泡泡面膜+76酵母胺基酸淨膚潔顏露【鍾明軒．蔡頤榛推薦】,無皂鹼、無刺激性介面劑的溫和保養級潔顏露,4885556.0,2444
7993561,洗臉好夥伴｜光感淨透洗臉機（聲波導入版）+ 76酵母胺基酸淨膚潔顏露【鍾明軒推薦】,｜洗臉好夥伴｜,4452975.0,2025
7941791,混和肌推薦｜76酵母胺基酸淨膚潔顏露+黃金修護白泡泡面膜+蜂王乳極潤修護精華露+黃金胜肽賦活精華+99控油保濕平衡乳【王凱推薦】,｜混和肌推薦｜,4430333.0,761
8128607,【母親節囤貨｜買4送2】76酵母胺基酸淨膚潔顏露 2入 +99控油保濕平衡乳 2入 送 潔膚巾(100pcs)2入 (珍珠紋 或 十字紋 款式隨機贈送)【鍾明軒推薦】,※贈品-珍珠紋潔膚巾與舒敏款潔膚巾，隨機發贈,3751062.0,938
7552856,全方位大掃除專用四寶組（萬用清潔噴霧+黑皂寶+神奇檸檬泡泡+酵素洗碗泡泡）各一瓶,,3341490.0,3593
8187452,【淨膚補水組】藍銅玻尿酸保濕修復精華+76酵母胺基酸淨膚潔顏露【鍾明軒．蔡頤榛推薦】,｜藍銅玻尿酸保濕修復精華｜,3243552.0,1248
8191446,【爆水小藍瓶】藍銅玻尿酸保濕修復精華【謝京穎推薦】,｜藍銅玻尿酸保濕修復精華｜,2920336.0,1073
8126188,外油內乾超淨化｜黃金修護白泡泡面膜+76酵母胺基酸淨膚潔顏露+99控油保濕平衡乳【鍾明軒．蔡頤榛推薦】,無皂鹼、無刺激性介面劑的溫和保養級潔顏露,2738120.0,889
7183547,黃金胜肽賦活精華【鄭亦真推薦】,｜黃金胜肽賦活精華｜,2735040.0,1628
7910885,【混和肌救星】99控油保濕平衡乳【黃上晏推薦】,｜99控油保濕平衡乳｜,2519040.0,1968
8192135,【爆水小藍瓶】藍銅玻尿酸保濕修復精華【謝京穎推薦】,｜藍銅玻尿酸保濕修復精華｜,2435400.0,1230
7774661,保濕淨化透光組｜76酵母胺基酸淨膚潔顏露+黃金胜肽賦活精華【鍾明軒．蔡頤榛推薦】,｜保濕淨化透光組｜,2391282.0,1018
8536052,【控油淨荳組｜新春買4送3】99控油保濕平衡乳+45淨化毛孔調理安瓶+76酵母胺基酸淨膚潔顏露+黃金修護白泡泡面膜 送 美白調理平衡露30g隨身瓶＋76酵母胺基酸淨膚潔顏露30g隨身瓶+琥珀酸喚膚粉刺泥膜30g隨身瓶 【11點熱吵店推薦．高效粉刺黑武士．新一代喚膚權威】,｜控油淨荳組｜,2345568.0,461
7353241,黃金修護白泡泡面膜【毛孔吸塵器．11點熱吵店推薦】,｜黃金修護白泡泡面膜｜,2026240.0,1583
7904452,【混和肌救星】99控油保濕平衡乳【黃上晏推薦】,｜99控油保濕平衡乳｜,1997059.0,987
8540842,【新春購｜+$188多一件】熱療撫紋導入儀（音波震動版）+黃金胜肽賦活精華-10ml隨身瓶【夏宇禾．鄭亦真推薦】,｜熱療撫紋導入儀｜,1910964.0,1023
