post_time,previous_date,previous_date_2,BullBear,return
2023-01-10,2023-01-09,2023-01-09,1,0.007776049766718507
2023-01-11,2023-01-10,2023-01-10,1,0.003086419753086464
2023-01-13,2023-01-12,2023-01-12,1,0.0030769230769231207
2023-01-17,2023-01-16,2023-01-16,1,0.003072196620583761
2023-01-31,2023-01-30,2023-01-30,1,0.012288786482335045
2023-02-03,2023-02-02,2023-02-02,1,0.007633587786259542
2023-02-06,2023-02-03,2023-02-05,1,0.01666666666666658
2023-02-13,2023-02-10,2023-02-12,1,0.009090909090909005
2023-02-14,2023-02-13,2023-02-13,1,0.02102102102102111
2023-02-15,2023-02-14,2023-02-14,1,0.03235294117647063
2023-02-16,2023-02-15,2023-02-15,1,0.007122507122507123
2023-02-17,2023-02-16,2023-02-16,1,0.03394625176803383
2023-02-20,2023-02-17,2023-02-19,1,0.04514363885088935
2023-02-22,2023-02-21,2023-02-21,1,0.09918478260869582
2023-02-23,2023-02-22,2023-02-22,1,0.09888751545117429
2023-02-24,2023-02-23,2023-02-23,1,0.06636670416197965
2023-03-02,2023-03-01,2023-03-01,1,0.09966777408637874
2023-03-03,2023-03-02,2023-03-02,1,0.013091641490433003
2023-03-07,2023-03-06,2023-03-06,1,0.0416666666666667
2023-03-09,2023-03-08,2023-03-08,1,0.024999999999999946
2023-03-14,2023-03-13,2023-03-13,1,0.017932489451476824
2023-03-17,2023-03-16,2023-03-16,1,0.059637912673056376
2023-03-20,2023-03-17,2023-03-19,1,0.08542713567839195
2023-03-24,2023-03-23,2023-03-23,1,0.023391812865497134
2023-03-29,2023-03-28,2023-03-28,1,0.03309929789368101
2023-03-31,2023-03-30,2023-03-30,1,0.01185770750988145
2023-04-13,2023-04-12,2023-04-12,1,0.015723270440251572
2023-04-14,2023-04-13,2023-04-13,1,0.09803921568627451
2023-04-19,2023-04-18,2023-04-18,1,0.03396226415094334
2023-04-26,2023-04-25,2023-04-25,1,0.01020408163265306
2023-04-28,2023-04-27,2023-04-27,1,0.03245436105476676
2023-05-04,2023-05-03,2023-05-03,1,0.02231237322515216
2023-05-10,2023-05-09,2023-05-09,1,0.0102880658436214
2023-05-12,2023-05-11,2023-05-11,1,0.029896907216494906
2023-05-16,2023-05-15,2023-05-15,1,0.036659877800407276
2023-05-17,2023-05-16,2023-05-16,1,0.03929273084479371
2023-05-19,2023-05-18,2023-05-18,1,0.07428571428571426
2023-05-22,2023-05-19,2023-05-21,1,0.019503546099290805
2023-05-23,2023-05-22,2023-05-22,1,0.09913043478260875
2023-05-24,2023-05-23,2023-05-23,1,0.09968354430379742
2023-05-25,2023-05-24,2023-05-24,1,0.018705035971222982
2023-05-29,2023-05-26,2023-05-28,1,0.010279001468428825
2023-05-31,2023-05-30,2023-05-30,1,0.09954751131221733
2023-06-06,2023-06-05,2023-06-05,1,0.029288702928870213
2023-06-07,2023-06-06,2023-06-06,1,0.04878048780487817
2023-06-08,2023-06-07,2023-06-07,1,0.03617571059431521
2023-06-13,2023-06-12,2023-06-12,1,0.04787234042553184
2023-06-14,2023-06-13,2023-06-13,1,0.022842639593908594
2023-06-15,2023-06-14,2023-06-14,1,0.014888337468982667
2023-06-16,2023-06-15,2023-06-15,1,0.09902200488997566
2023-06-19,2023-06-16,2023-06-18,1,0.09899888765294762
2023-06-20,2023-06-19,2023-06-19,1,0.0981781376518219
2023-06-21,2023-06-20,2023-06-20,1,0.041474654377880185
2023-06-28,2023-06-27,2023-06-27,1,0.024752475247524754
2023-06-30,2023-06-29,2023-06-29,1,0.004228329809725219
2023-07-03,2023-06-30,2023-07-02,1,0.021052631578947368
2023-07-11,2023-07-10,2023-07-10,1,0.005917159763313609
2023-07-20,2023-07-19,2023-07-19,1,0.07091172214182354
2023-07-25,2023-07-24,2023-07-24,1,0.01960784313725486
2023-07-26,2023-07-25,2023-07-25,1,0.016272189349112554
2023-07-27,2023-07-26,2023-07-26,1,0.013100436681222584
2023-07-28,2023-07-27,2023-07-27,1,0.011494252873563383
2023-08-04,2023-08-02,2023-08-03,1,0.016871165644171692
2023-08-15,2023-08-14,2023-08-14,1,0.003430531732418574
2023-08-21,2023-08-18,2023-08-20,1,0.02702702702702703
2023-08-23,2023-08-22,2023-08-22,1,0.017857142857142856
2023-08-25,2023-08-24,2023-08-24,1,0.04049295774647895
2023-08-29,2023-08-28,2023-08-28,1,0.025362318840579684
2023-09-13,2023-09-12,2023-09-12,1,0.03313840155945425
2023-09-18,2023-09-15,2023-09-17,1,0.003891050583657643
2023-09-22,2023-09-21,2023-09-21,1,0.003067484662576658
2023-09-25,2023-09-22,2023-09-24,1,0.019367991845056123
2023-09-27,2023-09-26,2023-09-26,1,0.008247422680412342
2023-09-28,2023-09-27,2023-09-27,1,0.03271983640081803
2023-10-05,2023-10-04,2023-10-04,1,0.019108280254777038
2023-10-23,2023-10-20,2023-10-22,1,0.01694915254237295
2023-10-24,2023-10-23,2023-10-23,1,0.032142857142857174
2023-10-25,2023-10-24,2023-10-24,1,0.011534025374855825
2023-10-30,2023-10-27,2023-10-29,1,0.004640371229698277
2023-11-01,2023-10-31,2023-10-31,1,0.07441860465116286
2023-11-06,2023-11-03,2023-11-05,1,0.0993303571428572
2023-11-07,2023-11-06,2023-11-06,1,0.09847715736040612
2023-11-08,2023-11-07,2023-11-07,1,0.03142329020332709
2023-11-09,2023-11-08,2023-11-08,1,0.010752688172043038
2023-11-16,2023-11-15,2023-11-15,1,0.09906542056074762
2023-11-17,2023-11-16,2023-11-16,1,0.09863945578231288
2023-11-20,2023-11-17,2023-11-19,1,0.021671826625387088
2023-11-22,2023-11-21,2023-11-21,1,0.04381846635367769
2023-11-23,2023-11-22,2023-11-22,1,0.058470764617691025
2023-11-28,2023-11-27,2023-11-27,1,0.008169934640522876
2023-12-06,2023-12-05,2023-12-05,1,0.04203152364273202
2023-12-07,2023-12-06,2023-12-06,1,0.01680672268907563
2023-12-13,2023-12-12,2023-12-12,1,0.01036269430051816
2023-12-20,2023-12-19,2023-12-19,1,0.03496503496503496
2023-12-22,2023-12-21,2023-12-21,1,0.008620689655172414
2023-12-26,2023-12-25,2023-12-25,1,0.008620689655172414
2023-12-29,2023-12-28,2023-12-28,1,0.08996539792387549
2024-01-02,2023-12-29,2024-01-01,1,0.015873015873015872
2024-01-05,2024-01-04,2024-01-04,1,0.008223684210526315
2024-01-08,2024-01-05,2024-01-07,1,0.02936378466557919
2024-01-11,2024-01-10,2024-01-10,1,0.01675041876046901
2024-01-12,2024-01-11,2024-01-11,1,0.0032948929159801604
2024-01-19,2024-01-18,2024-01-18,1,0.021739130434782532
2024-01-24,2024-01-23,2024-01-23,1,0.016483516483516456
2024-01-26,2024-01-25,2024-01-25,1,0.01651376146788988
2024-01-29,2024-01-26,2024-01-28,1,0.018050541516245487
2024-02-01,2024-01-31,2024-01-31,1,0.010752688172043038
2024-02-19,2024-02-16,2024-02-18,1,0.011764705882352969
2024-02-26,2024-02-23,2024-02-25,1,0.014344262295082027
2024-02-29,2024-02-27,2024-02-28,1,0.009249743062692762
2024-03-04,2024-03-01,2024-03-03,1,0.0040733197556007275
2024-03-05,2024-03-04,2024-03-04,1,0.012170385395537555
2024-03-11,2024-03-08,2024-03-10,1,0.0508130081300813
2024-03-12,2024-03-11,2024-03-11,1,0.01547388781431329
2024-03-14,2024-03-13,2024-03-13,1,0.011741682974559714
2024-03-21,2024-03-20,2024-03-20,1,0.00301810865191144
2024-03-22,2024-03-21,2024-03-21,1,0.011033099297893624
2024-03-25,2024-03-22,2024-03-24,1,0.003968253968254024
2024-03-27,2024-03-26,2024-03-26,1,0.041501976284585004
2024-03-28,2024-03-27,2024-03-27,1,0.005692599620493305
2024-04-01,2024-03-29,2024-03-31,1,0.030769230769230795
2024-04-08,2024-04-03,2024-04-07,1,0.050751879699248034
2024-04-09,2024-04-08,2024-04-08,1,0.012522361359570713
2024-04-10,2024-04-09,2024-04-09,1,0.012367491166077663
2024-04-11,2024-04-10,2024-04-10,1,0.09075043630017457
2024-04-17,2024-04-16,2024-04-16,1,0.014035087719298196
2024-04-18,2024-04-17,2024-04-17,1,0.006920415224913594
2024-04-22,2024-04-19,2024-04-21,1,0.024604569420035124
2024-04-23,2024-04-22,2024-04-22,1,0.027444253859348226
2024-04-24,2024-04-23,2024-04-23,1,0.04340567612687816
2024-04-25,2024-04-24,2024-04-24,1,0.0047999999999999545
2024-04-29,2024-04-26,2024-04-28,1,0.024193548387096774
2024-05-02,2024-04-30,2024-05-01,1,0.03481012658227853
2024-05-08,2024-05-07,2024-05-07,1,0.00330033003300323
2024-05-10,2024-05-09,2024-05-09,1,0.018151815181518174
2024-05-14,2024-05-13,2024-05-13,1,0.003333333333333381
2024-05-15,2024-05-14,2024-05-14,1,0.00498338870431889
2024-05-16,2024-05-15,2024-05-15,1,0.04132231404958678
2024-05-24,2024-05-23,2024-05-23,1,0.01773049645390071
2024-05-28,2024-05-27,2024-05-27,1,0.0993031358885018
2024-05-29,2024-05-28,2024-05-28,1,0.09984152139461179
2024-06-04,2024-06-03,2024-06-03,1,0.006802721088435471
2024-06-07,2024-06-06,2024-06-06,1,0.011904761904761954
2024-06-13,2024-06-12,2024-06-12,1,0.0034482758620690145
2024-06-14,2024-06-13,2024-06-13,1,0.018900343642611585
2024-07-01,2024-06-28,2024-06-30,1,0.026929982046678635
2024-07-05,2024-07-04,2024-07-04,1,0.003590664272890408
2024-07-10,2024-07-09,2024-07-09,1,0.018214936247723135
2024-07-12,2024-07-11,2024-07-11,1,0.003629764065335676
2024-07-17,2024-07-16,2024-07-16,1,0.003831417624520991
2024-07-23,2024-07-22,2024-07-22,1,0.01040582726326743
2024-08-01,2024-07-31,2024-07-31,1,0.02248394004282649
2024-08-07,2024-08-06,2024-08-06,1,0.0804597701149425
2024-08-09,2024-08-08,2024-08-08,1,0.018337408312958436
2024-08-12,2024-08-09,2024-08-11,1,0.01320528211284524
2024-08-15,2024-08-14,2024-08-14,1,0.00840336134453785
2024-08-16,2024-08-15,2024-08-15,1,0.013095238095238028
2024-08-21,2024-08-20,2024-08-20,1,0.00855745721271397
2024-08-22,2024-08-21,2024-08-21,1,0.003636363636363602
2024-08-26,2024-08-23,2024-08-25,1,0.010856453558504118
2024-08-30,2024-08-29,2024-08-29,1,0.01684717208182919
2024-09-10,2024-09-09,2024-09-09,1,0.013175230566534914
2024-09-12,2024-09-11,2024-09-11,1,0.07049608355091391
2024-09-19,2024-09-18,2024-09-18,1,0.016169154228855686
2024-09-23,2024-09-20,2024-09-22,1,0.023255813953488268
2024-09-24,2024-09-23,2024-09-23,1,0.010765550239234518
2024-09-25,2024-09-24,2024-09-24,1,0.008284023668639087
2024-09-26,2024-09-25,2024-09-25,1,0.05164319248826281
2024-10-01,2024-09-30,2024-09-30,1,0.012941176470588168
2024-10-11,2024-10-09,2024-10-10,1,0.00755667506297222
2024-10-15,2024-10-14,2024-10-14,1,0.00877192982456144
2024-10-16,2024-10-15,2024-10-15,1,0.014906832298136682
2024-10-17,2024-10-16,2024-10-16,1,0.024479804161566705
2024-10-28,2024-10-25,2024-10-27,1,0.013801756587201936
2024-11-01,2024-10-30,2024-10-31,1,0.02307692307692304
