post_time,volume,amount,open,high,low,close,change,transaction
2023-01-03,"107,253","3,512,864",33.25,33.25,32.50,32.80,-0.60,118
2023-01-04,"95,435","3,110,800",33.00,33.35,32.25,32.40,-0.40,103
2023-01-05,"87,294","2,845,907",32.45,33.00,32.20,32.25,-0.15,104
2023-01-06,"60,015","1,927,481",32.25,32.45,32.00,32.10,-0.15,57
2023-01-09,"58,308","1,875,796",32.35,32.35,32.05,32.15,+0.05,87
2023-01-10,"15,045","487,325",32.50,32.50,32.20,32.40,+0.25,16
2023-01-11,"23,000","748,950",32.60,32.70,32.50,32.50,+0.10,21
2023-01-12,"38,664","1,257,760",32.50,32.70,32.40,32.50, 0.00,33
2023-01-13,"19,034","620,904",32.50,32.80,32.50,32.60,+0.10,19
2023-01-16,"20,322","660,040",32.60,32.60,32.35,32.55,-0.05,24
2023-01-17,"22,150","723,969",32.50,32.80,32.50,32.65,+0.10,21
2023-01-30,"23,154","754,064",33.00,33.00,32.40,32.55,-0.10,29
2023-01-31,"23,512","772,785",32.70,33.20,32.60,32.95,+0.40,28
2023-02-01,"87,001","2,886,431",33.00,33.55,33.00,33.00,+0.05,74
2023-02-02,"47,012","1,545,595",33.40,33.40,32.75,32.75,-0.25,43
2023-02-03,"49,079","1,618,542",32.85,33.20,32.75,33.00,+0.25,50
2023-02-06,"126,267","4,238,705",33.25,34.00,33.00,33.55,+0.55,129
2023-02-07,"82,229","2,743,274",34.10,34.10,33.10,33.15,-0.40,63
2023-02-08,"25,000","828,700",33.15,33.30,33.05,33.20,+0.05,23
2023-02-09,"87,083","2,890,561",33.55,33.60,33.05,33.10,-0.10,67
2023-02-10,"55,158","1,829,003",33.25,33.40,33.00,33.00,-0.10,50
2023-02-13,"82,590","2,769,010",33.20,34.15,33.15,33.30,+0.30,90
2023-02-14,"107,000","3,621,100",33.75,34.00,33.50,34.00,+0.70,67
2023-02-15,"468,199","16,478,917",34.05,35.95,34.05,35.10,+1.10,388
2023-02-16,"212,451","7,518,436",35.70,35.80,34.85,35.35,+0.25,215
2023-02-17,"1,164,199","43,243,729",35.30,38.20,33.80,36.55,+1.20,"1,039"
2023-02-20,"1,759,118","68,298,646",37.15,40.00,37.15,38.20,+1.65,"1,433"
2023-02-21,"358,000","13,247,057",37.95,37.95,36.50,36.80,-1.40,392
2023-02-22,"2,116,470","84,880,452",37.10,40.45,37.05,40.45,+3.65,"1,254"
2023-02-23,"1,101,015","48,928,136",44.45,44.45,43.80,44.45,+4.00,490
2023-02-24,"5,734,578","270,320,440",44.90,48.85,44.70,47.40,+2.95,"4,470"
2023-03-01,"1,804,371","83,782,019",47.50,48.00,45.00,45.15,-2.25,"1,397"
2023-03-02,"3,052,737","149,824,654",45.75,49.65,45.50,49.65,+4.50,"1,619"
2023-03-03,"5,656,978","289,255,359",51.50,52.30,49.85,50.30,+0.65,"3,897"
2023-03-06,"980,107","48,596,696",49.50,51.50,48.65,50.40,+0.10,811
2023-03-07,"3,730,313","200,280,879",50.60,55.40,50.60,52.50,+2.10,"2,368"
2023-03-08,"1,490,262","78,044,153",52.20,54.10,50.70,52.00,-0.50,"1,164"
2023-03-09,"1,296,877","69,004,812",53.10,54.30,52.10,53.30,+1.30,"1,000"
2023-03-10,"2,798,299","147,010,400",53.90,56.50,50.00,50.30,-3.00,"2,002"
2023-03-13,"949,902","45,932,194",50.30,50.30,47.40,47.40,-2.90,714
2023-03-14,"1,543,025","76,114,861",46.90,51.60,46.90,48.25,+0.85,"1,234"
2023-03-15,"761,201","36,991,556",48.50,49.80,48.05,48.05,-0.20,587
2023-03-16,"614,385","28,710,640",47.55,47.95,45.55,46.95,-1.10,528
2023-03-17,"1,459,545","72,405,476",47.70,50.80,47.30,49.75,+2.80,"1,113"
2023-03-20,"3,513,200","185,567,136",50.20,54.00,50.20,54.00,+4.25,"2,599"
2023-03-21,"2,392,648","128,823,533",54.10,55.50,52.10,53.90,-0.10,"2,180"
2023-03-22,"682,579","36,378,885",53.60,54.40,52.80,52.80,-1.10,645
2023-03-23,"476,597","24,770,824",52.80,53.00,51.20,51.30,-1.50,428
2023-03-24,"509,545","26,497,444",52.00,53.00,51.10,52.50,+1.20,478
2023-03-27,"553,755","28,240,701",51.80,52.40,50.70,50.70,-1.80,444
2023-03-28,"1,007,711","51,888,208",51.60,53.00,49.85,49.85,-0.85,767
2023-03-29,"2,023,604","106,614,160",50.50,54.30,50.50,51.50,+1.65,"1,486"
2023-03-30,"609,928","31,253,701",51.80,52.40,50.60,50.60,-0.90,511
2023-03-31,"375,730","19,153,263",51.20,51.80,50.30,51.20,+0.60,292
2023-04-06,"477,528","23,744,860",50.70,50.70,49.30,49.60,-1.60,363
2023-04-07,"308,455","15,368,716",50.50,51.00,49.30,49.50,-0.10,265
2023-04-10,"220,795","10,757,827",49.00,49.20,48.10,48.55,-0.95,213
2023-04-11,"207,503","10,061,179",48.25,49.35,48.00,48.05,-0.50,242
2023-04-12,"168,380","8,091,840",47.75,48.50,47.70,47.70,-0.35,151
2023-04-13,"616,780","30,101,079",47.80,49.85,47.10,48.45,+0.75,482
2023-04-14,"3,174,310","165,595,625",48.60,53.20,48.60,53.20,+4.75,"1,952"
2023-04-17,"2,597,226","137,513,459",52.10,53.70,51.90,53.20, 0.00,"1,596"
2023-04-18,"791,182","41,666,330",52.80,53.40,52.00,53.00,-0.20,564
2023-04-19,"5,864,546","327,619,260",53.00,58.10,53.00,54.80,+1.80,"3,983"
2023-04-20,"1,456,631","78,109,102",55.20,56.40,51.80,52.20,-2.60,"1,226"
2023-04-21,"729,097","37,008,219",51.90,52.20,49.95,50.30,-1.90,588
2023-04-24,"434,385","22,011,843",50.60,51.90,50.00,50.00,-0.30,419
2023-04-25,"474,524","23,640,853",50.70,51.50,48.60,49.00,-1.00,425
2023-04-26,"349,692","16,924,722",48.50,49.50,47.90,49.50,+0.50,326
2023-04-27,"194,617","9,561,149",49.05,49.80,48.20,49.30,-0.20,203
2023-04-28,"417,591","21,250,798",49.70,51.50,49.70,50.90,+1.60,418
2023-05-02,"414,686","20,815,939",50.70,51.60,49.70,49.70,-1.20,366
2023-05-03,"98,739","4,883,229",49.70,49.95,49.10,49.30,-0.40,117
2023-05-04,"355,173","17,750,910",49.30,50.80,48.80,50.40,+1.10,227
2023-05-05,"327,590","16,397,981",49.70,51.20,49.20,49.40,-1.00,286
2023-05-08,"104,560","5,179,228",50.00,50.30,49.15,49.15,-0.25,113
2023-05-09,"102,271","4,994,850",48.75,49.25,48.50,48.60,-0.55,107
2023-05-10,"94,354","4,603,373",48.60,49.10,48.45,49.10,+0.50,86
2023-05-11,"185,280","9,102,275",49.15,50.00,48.50,48.50,-0.60,191
2023-05-12,"214,331","10,625,755",49.40,50.20,48.50,49.95,+1.45,184
2023-05-15,"339,827","17,046,016",50.00,51.30,49.10,49.10,-0.85,298
2023-05-16,"839,144","42,895,984",49.40,51.90,49.40,50.90,+1.80,675
2023-05-17,"2,180,046","115,491,892",52.00,54.00,51.10,52.90,+2.00,"1,778"
2023-05-18,"926,456","48,560,277",52.70,53.40,51.00,52.50,-0.40,885
2023-05-19,"4,769,602","270,199,996",52.60,57.70,50.80,56.40,+3.90,"3,134"
2023-05-22,"3,517,345","201,667,632",58.50,58.60,54.70,57.50,+1.10,"2,766"
2023-05-23,"5,820,048","359,191,618",57.50,63.20,55.90,63.20,+5.70,"3,684"
2023-05-24,"3,856,653","265,028,050",66.70,69.50,66.60,69.50,+6.30,"2,211"
2023-05-25,"12,759,706","902,624,559",71.40,74.00,65.10,70.80,+1.30,"8,908"
2023-05-26,"5,172,435","358,362,398",71.60,71.60,67.50,68.10,-2.70,"3,751"
2023-05-29,"2,433,362","164,727,500",66.60,69.60,65.30,68.80,+0.70,"1,713"
2023-05-30,"1,609,984","109,256,140",69.00,70.50,66.30,66.30,-2.50,"1,562"
2023-05-31,"5,669,908","403,930,331",66.40,72.90,66.40,72.90,+6.60,"3,889"
2023-06-01,"9,689,949","727,569,148",72.60,78.30,71.70,71.70,-1.20,"6,938"
2023-06-02,"2,853,415","204,924,701",70.70,73.50,70.70,71.50,-0.20,"2,259"
2023-06-05,"1,253,143","90,893,306",72.10,73.90,71.60,71.70,+0.20,"1,077"
2023-06-06,"9,565,811","733,061,631",72.50,78.80,72.10,73.80,+2.10,"6,041"
2023-06-07,"7,433,054","570,005,584",75.60,78.60,74.90,77.40,+3.60,"5,567"
2023-06-08,"11,134,367","901,318,438",77.10,83.80,77.00,80.20,+2.80,"8,157"
2023-06-09,"5,761,961","456,470,947",82.70,83.10,76.10,77.20,-3.00,"4,200"
2023-06-12,"1,595,134","119,708,969",76.50,76.60,73.90,75.20,-2.00,"1,285"
2023-06-13,"2,912,952","227,241,727",75.00,80.00,74.70,78.80,+3.60,"2,362"
2023-06-14,"4,029,224","325,508,274",79.50,83.00,78.60,80.60,+1.80,"3,026"
2023-06-15,"1,956,493","158,649,983",81.10,82.40,79.30,81.80,+1.20,"1,481"
2023-06-16,"3,538,721","307,010,759",83.50,89.90,82.50,89.90,+8.10,"2,468"
2023-06-19,"545,765","53,921,560",98.80,98.80,98.80,98.80,+8.90,239
2023-06-20,"6,775,850","720,921,089",107.00,108.50,103.50,108.50,+9.70,"3,533"
2023-06-21,"12,222,460","1,363,268,521",119.00,119.00,103.50,113.00,+4.50,"7,697"
2023-06-26,"4,330,357","513,324,284",122.00,123.00,112.00,112.00,-1.00,"3,051"
2023-06-27,"708,256","74,176,270",112.00,112.00,101.00,101.00,-11.00,838
2023-06-28,"834,162","80,935,539",98.90,103.50,93.00,103.50,+2.50,856
2023-06-29,"368,103","34,894,110",95.00,95.80,93.70,94.60,X0.00,417
2023-06-30,"176,248","16,698,209",94.60,96.00,93.20,95.00,+0.40,230
2023-07-03,"277,600","26,894,942",96.00,99.00,96.00,97.00,+2.00,322
2023-07-04,"163,224","15,513,541",96.40,96.40,94.60,94.70,-2.30,223
2023-07-05,"229,453","21,757,968",94.70,97.00,93.30,93.30,-1.40,261
2023-07-06,"215,829","19,618,733",92.10,92.90,89.00,89.40,-3.90,267
2023-07-07,"213,154","18,793,815",86.50,91.00,86.50,88.30,-1.10,231
2023-07-10,"196,853","16,935,945",87.70,88.50,84.50,84.50,-3.80,211
2023-07-11,"188,818","16,247,600",85.80,87.50,84.50,85.00,+0.50,189
2023-07-12,"427,663","34,192,975",84.00,84.50,76.50,78.20,-6.80,529
2023-07-13,"1,091,924","84,616,578",76.50,79.40,76.10,76.50,-1.70,985
2023-07-14,"1,072,300","81,888,934",77.00,78.10,73.70,75.40,-1.10,"1,035"
2023-07-17,"926,857","67,835,466",74.10,74.70,71.90,73.00,-2.40,931
2023-07-18,"779,227","55,565,519",74.40,74.40,69.60,70.90,-2.10,900
2023-07-19,"814,893","57,297,773",69.60,72.10,68.80,69.10,-1.80,"1,100"
2023-07-20,"2,822,934","206,979,915",68.50,75.40,68.50,74.00,+4.90,"2,312"
2023-07-21,"3,119,377","231,977,741",75.50,79.20,70.60,71.00,-3.00,"2,461"
2023-07-24,"952,621","64,221,491",71.20,71.50,66.30,66.30,-4.70,843
2023-07-25,"1,184,662","78,916,828",67.00,68.30,64.20,67.60,+1.30,950
2023-07-26,"1,237,832","85,489,441",67.20,70.90,66.10,68.70,+1.10,"1,068"
2023-07-27,"1,016,410","71,016,660",67.80,71.50,67.80,69.60,+0.90,896
2023-07-28,"2,220,390","157,858,375",71.80,73.20,68.00,70.40,+0.80,"1,883"
2023-07-31,"868,072","59,798,857",71.10,71.20,67.50,67.50,-2.90,938
2023-08-01,"529,216","35,753,861",68.30,68.80,66.70,67.50, 0.00,648
2023-08-02,"532,237","35,339,893",67.90,68.60,64.90,65.20,-2.30,460
2023-08-04,"357,985","23,533,753",64.00,66.60,64.00,66.30,+1.10,355
