title,content
台積電不給力 台股早盤陷萬四關卡保衛戰,"2023年首個交易日，台股加權指數3日開在14,108.16點，權王台積電（2330）開在446元，雙雙開低，大型權值電子股聯電（2303）、聯發科（2454）走勢疲弱，儲能相關概念、生技防疫概念在多頭點火下，逆勢走揚，台股早盤指數往下，但賣壓不重，指數跌60餘點，面臨萬四關卡保衛戰。美國股市1月2日因元旦補假一天。道瓊工業平均指數12月30日終場下跌0.22％（73.55點）、收33,147.25點；周K線下跌0.17％、月K線下跌4.17％。那斯達克指數下跌0.11％（11.62點）、收10,466.48點；周K線下跌0.3％、月K線下跌8.13％。費城半導體指數下跌0.11％（2.84點）、收2,532.11點；周K線下跌0.13％、月K線下跌10.43％。元富投顧指出，在聯準會（Fed）的發言後，推估貨幣政策還是偏鷹，投資人要注意國際熱錢流向。台股14,500點整數以上壓力大，短線可來回操作，可布局已站回5和10日線強勢股。現階段選股，優先選擇打底股或2023第一季旺季股，操作觀念「型態突破買進或法人領先布局股」方式，電子股包括晶睿、台達電、世芯-KY、森崴能源和嘉澤最具指標。另外，在非電子部分，鋼鐵和航運股可觀察，包括海光、中航和長榮是觀察重點，目前呈現漸轉強，逢低買進原則。比特幣出現震盪，16,600美元附近觀察，美元指數104附近是觀察重點，目前處震盪格局，未來續追蹤。台灣股市隨美股起舞，櫃買指數跌深反彈，集中市場跟著彈，外資內資短時同調，未來台股反覆測底機會大。台股最重要的護國神山，台積電450元整數關卡成短線多空，當先行指標，未來量能變化，將是本波觀察重點，5日均量達2,000億元以上，反彈才能持久。"
台積電重返450元！台股強攻翻紅 指數漲86點收14224點,記者戴玉翔／台北報導台股今（3）日迎來 2023 年交易首日，開盤出師不利，盤中一度跌至 14001.97點，險守萬四大關，隨後在買盤積極進駐下，指數翻紅，高低震盪236點，終場上漲86.43點，漲幅0.61%，收在14224.12點，今日大盤成交值1493億元。今日台積電同樣開低走高，盤中最低來到443元，隨後跌福逐漸收斂，終盤上漲4.5元，漲幅1%，收在453元。聯發科終盤上漲19元，漲幅3.04%，收在644元。鴻海終盤下跌0.8元，跌幅0.8%，收在99.1元。大立光終盤上漲35元，漲幅1.72%，收在2075元。聯電終盤上漲0.7元，漲幅1.72%，收在41.4元。IC 設計族群今日跌深反彈，世芯-KY強漲8.5%，敦泰漲6.83%，創意漲6.71%，其他個股如旺玖漲停，聯詠、創惟、系微、矽創、力旺等，漲幅都超過4%。
台積電續揚 台股小漲攻14800點,（中央社記者江明晏台北10日電）美股9日漲跌互見，台股今天開高小漲，早盤指數漲逾50點，一度攻上14800點整數關卡，隨後漲勢收斂；台積電早盤上漲6元，至487元，大立光等權值股與金融股熄火。至9時20分左右，加權指數上漲14.14點，至14766.35點，漲幅約0.1%，代表中小型股票的櫃買指數早盤上漲約0.19%。觀察族群走勢，電子股漲0.51%、金融股熄火下跌約0.49%；權值股走勢方面，晶圓代工廠台積電早盤漲6元，至487元；聯發科上漲逾2%、鴻海小漲約0.1%，大立光下跌約0.45%。（編輯：楊蘭軒）1120110
台積電續揚金融熄火 指數挑戰14800點後壓回整理,（中央社記者江明晏台北10日電）美國費城半導體指數勁揚，台積電歷經9日大漲近5%創1個月新高後，今天盤中股價最高續漲6元至487元，帶動大盤指數攻上14800點關卡，不過中場金融、生技類股走勢疲軟，指數壓回平盤整理。美股4大指數今天漲跌互見，那斯達克指數上漲0.63%、費城半導體指數揚升1.92%，台股歷經9日大漲378.87點後，今天早盤以14796.27點開高，隨後指數於14800點關卡震盪。到10時40分左右，台股加權指數來到14747點，小跌5點，成交量約953億元；另外代表中小型股的櫃買指數也拉回翻黑。觀察類股表現，上市電子股漲0.15%，半導體股漲0.41%；金融股跌0.77%，生技股下跌1.37%。權值股走勢方面，市場關注12日將登場的台積電、大立光法人說明會，台積電在9日率先發動大漲後，今天走勢相對冷靜，盤中小漲近1%，在485元附近整理，大立光下跌約2%；聯發科上漲1.78%、鴻海漲約0.3%。ABF三雄走跌，欣興、南電、景碩跌幅約在1.18%至1.48%左右；貨櫃三雄長榮、萬海、陽明則維持平盤或小跌1%以內。（編輯：張良知）1120110
台股收盤／台積電續攻「股價漲5元到486元」！指數漲50點站上14800關卡,記者戴玉翔／台北報導台股今（10）日開高震盪，在台積電領軍上攻之下，帶動大盤指數攻上14800點關卡，不過盤中金融、生技類股走勢疲軟，終場上漲50.75點，漲幅0.34%，收在14802.96點，今日大盤成交值1774億元。今日台積電終盤上漲5元，漲幅1.04%，收在486元。聯發科終盤上漲19元，漲幅2.81%，收在694元。鴻海終盤上漲0.3元，漲幅0.3%，收在99.4元。大立光終盤下跌45元，跌幅2.02%，收在2180元。聯電終盤上漲0.5元，漲幅1.12%，收在45元。ABF載板三雄漲跌互見，南電漲0.21%、欣興跌0.78%、景碩跌0.93%。造紙類股表現不俗，正隆漲1.61%、榮成1.46%、永豐餘漲0.6%。
2.2兆！台積電2022年營收創歷史新高 法人估全年EPS37到40元,台積電2022年營收一舉突破2兆，來到2.2兆水準，年成長42％ ，5奈米出貨占比拉高貢獻不小 （圖為台積電董事長劉德音）。（攝影／鄭國強）台積電10日公布去年12月營收1925.6億元，2022年全年營收衝上2.26兆元的歷史新高，年成長42.6％，法人推估全年EPS可望超過38元。營收大增，主要貢獻來自於高速晶片，以及先進5奈米製程占出貨比重拉高近3成，台積電也趕在去年12月29日宣布3奈米正式量產。2022年台積電經歷重大轉折，在美國眾議院議長裴洛西訪問台灣後，到年底宣布除了5奈米廠之外，還會擴建3奈米廠，以及全球景氣的反轉，在2022年1月股價來到歷史新高688元，隨著市場波動，以及法人對資本支出的憂慮，在10月最後一周股價曾跌到370元，股神巴菲特大筆買進，股價大幅反彈，年底跟著美股又拉回450元左右。2022年營收創歷史新高，5奈米占比大幅拉高即便資本市場波動，但業績月月高升，11月營收創單月歷史新高2227億元，12月營收1925.6億元，創歷年12月最高，第四季合併營收為6255.6億元。「去年算是台積電5奈米製程元年。」法人分析指出，2022年高效運算晶片需求大增，先進製程導入速度快，占出貨比重逐季推高，帶動營收大幅成長，尤其5奈米製程在第一季占出貨比20％、第二季21％，訂單確認後，第三季一下子占到28％，第四季應該已經逼近29％。2022年EPS至少37元，今年第一季看法保守法人根據前三季毛利率在59％上下推估，第四季每股盈餘有望超過11元，2022年全年EPS可能達到37到40元之間。全球PC需求下滑，景氣反轉，使得法人對2023年第一季的出貨看法轉保守，7 奈米與 5 奈米產能利用率可能惡化，分別下滑至45％、50到60％左右，外資更普遍預估第一季營收將季減約 14-16％之間。勁敵三星也在衝3奈米出貨，外資關注資本支出此外，台積電雖然宣布3奈米製程步入量產，但出貨比重低，三星則加速在美國的設廠，也在衝所謂的「3奈米」製成出貨量，並且積極拉攏ASML朝戰略夥伴關係發展，來卡住台積電。至於全球消費性電子CES展的未來商機要實現，恐怕要等一波景氣低谷走完才會實現。本週將聚焦12日台積電的法說及美國CPI數據，尤其是美國廠量產進度，以及3奈米廠進程，還有竹科2奈米廠進度，其資本支出是否對營運造成壓力，但資本市場關注的是美國聯準會升息、收回資金、新台幣匯率，還有巴菲特的持股性等指標。(原始連結)
快訊／虎年封關倒數2日！台積電漲6元衝506元 台股漲逾100點拚萬五,"記者戴玉翔／台北報導美股3大指數13日全面上揚，道瓊指數終盤上漲112.64點，漲幅0.33%，收在34,302.61點。那斯達克綜合指數終盤上漲78.05點，漲幅0.71%，收在11,079.16點。標普500指數終盤上漲15.92點，漲幅0.40%，收在3,999.09點。台股今（16）日開盤漲71點，開在14895點，開盤1分鐘後漲106點，指數來到14930點。<BR> 台積電（2330）開盤漲6元，漲幅1.2%，股價來到506元。<BR> 聯發科（2454）開盤漲13元，漲幅1.87%，股價來到707元。<BR> 鴻 海（2317）開平盤，股價來到98.6元。<BR> 大立光（3008）開盤漲10元，漲幅0.49%，股價來到2015元。<BR> 聯 電（2303）開盤跌0.15元，跌幅0.33%，股價來到45.25元。永誠國際投顧分析師許豐祿盤前分析，本週台股兩個交易日，邏輯上想賣的賣光了，融資一路下降，想買的也買得差不多，外資上週大買超過800億，今明兩天基本上都是縮量整理，操作策略是在控制好資金比重，等待看好個股的超跌買點。永豐投信表示，本週是春節前布局、與賣股的最後機會，由上週股市走勢顯示，雖然個股之間展現強弱勢，表示投資人有意願提前布局，但是短線投資人仍會把握賣短機會，因此股價衝高容易拉回。是故，為了因應此一特殊格局，建議觀察市場強勢股，捕捉拉回時機進場。中期台股看多，應偏多操作，然而假期太長，不建議大筆投入，再者因為波動、輪動劇烈，建議把握拉回機會才進場，同時注意短線價差，本週指數空間看14,600～15,000。"
台積電上漲5元 台股揚升102點突破14900點,（中央社記者張建中台北16日電）美股13日震盪收高，台股今天隨著同步揚升，指數終場上揚102.88點，突破14900點關卡，收在14927.01點，成交值新台幣1497.34億元。台積電股價收在505元，上漲5元。股王大立光及聯發科等指標股同步攀高，推升整體電子類股指數上揚0.76%。生技類股指數大漲逾2%，為盤面焦點。金融股也有不錯表現，類股指數上揚0.84%。（編輯：楊凱翔）1120116
金兔年投資法2／春江水暖鴨先知 台積電魏哲家成大股東加碼持股指標 金融股谷底已過外資反手大買,[周刊王CTWANT] 「最熟悉公司營運狀況的人就是大股東，如果大股東都大力加碼持股了，除非是原本的持股比重就低於法令規定，那就要再觀察看看，不然整體來看，當大股東加碼自家股票時，有可能就是股價已經跌深，連大股東都覺得不合理的價位，因此投資人可以觀察是否具有買進加值。」仲英財富投資長陳唯泰說。觀察去（2022）年第四季的上市櫃公司大股東加碼自家股票的統計資料，當然最大的指標公司，就是台積電（2330），根據公開資訊站資料，台積電總裁魏哲家在10月份將名下所持有的6346張持股，質押了1600張，市場預估可取得超過6億元的資金，由於10月並非是報稅時期，加上質押取得的金額也不少，因此讓市場關注魏哲家質押持股的用途，就是要來加碼自家股東。果不其然，魏哲家在10、11及12月，連續三個月都加碼的台積電持股。甚至魏哲家面對媒體詢問對於巴菲特首度持有台積電股票的看法，他就直言希望會有正面效益，因為他自己都繼續加碼台積電股票了，「而且還是借錢買的。」法人指出，另外東和鋼鐵（2006）董監事在去年也是逐漸增加公司持股，加上近期國際廢鋼行情轉強，讓鋼筋報價相對有撐，以目前其股價價位來看，不難看出公司仍看好未來鋼市而加碼公司持股。分析第四季公司大股東加碼持股變化，其中港建*（3093）在12月就是由法人董事兼董事長王氏港建國際（集團）有限公司直接加碼；11月，三商壽也是由法人董事兼董事長三商投資控股股份有限公司加碼持股；10月的堤維西也同樣是由法人董事兼董事長國啟敏投資股份有限公司加碼持股。觀察外資在今年封關前夕的買超狀況，由晶圓雙雄聯電（2303）及台積電（2330）分居前兩位，而3-10名則是由金融股統包，分別為新光金（2888）、元大金（2885）、台企銀（2834）、開發金（2883）、中信金（2891）、台新金（2887）、永豐金（2890）、兆豐金（2886）。如果放寬到外資買超前20名，則還有國泰金（2882）、第一金（2892）、富邦金（2881）、合庫金（5880）等，合計多達12檔。法人指出，金融股相較於科技股，並沒有所謂的庫存問題，去年的防疫總理賠金額雖然尚未公布，不過市場普遍預估約在2500-3000億元，已經是最大的谷底，今年就不會再有防疫險的變數出現，而且像是金控指標的國泰金及富邦金，去年股價都一度接近腰斬，近期短線漲幅也約有10-20%，相較於去年高點，也還是相對低位階，因此也是投資人或是存股族可以觀察的族群。
兔年開紅盤！台股大漲500點收復萬五 台積電開盤漲39元,台股封關期間，美股漲多跌少，其中台積電ADR漲幅超過7%，法人看好台股新春開盤有望補漲。在經歷春節休市12天，台股今（30）日開盤上漲358.6點，以15291.53點開出，指數隨即大漲超過500點，最高漲至15465.74點，不僅重返萬五，更一舉收復年線。台積電以542元開出，上漲39元，漲幅超過6%，創波段新高。責任編輯／林湘芸
